Area of park,Population year,Survey Year,Survey Month,Survey Day,Species name,Unknown age and sex count,Adult male count,Adult female count,Adult unknown count,Yearling count,Calf count,Survey total,Sightability correction factor,Additional captive count,Animals removed prior to survey,Fall population estimate,Survey comment,Estimate method
North,1924,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404,,Ground
North,1924,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,,Ground
North,1924,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,,Ground
North,1924,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,,Ground
North,1925,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469,,Ground
North,1925,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,,Ground
North,1925,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,,Ground
North,1925,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,,Ground
North,1926,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,,Ground
North,1926,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,,Ground
North,1926,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,,Ground
North,1926,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,,Ground
North,1927,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,729,,Ground
North,1927,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,,Ground
North,1927,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,,Ground
North,1927,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357,,Ground
North,1928,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,823,,Ground
North,1928,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454,,Ground
North,1928,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,,Ground
North,1928,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,,Ground
North,1929,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,,Ground
North,1929,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453,,Ground
North,1929,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,,Ground
North,1929,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,,Ground
North,1930,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863,,Ground
North,1930,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,,Ground
North,1930,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,,Ground
North,1930,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,,Ground
North,1931,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,,Ground
North,1931,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467,,Ground
North,1931,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,,Ground
North,1931,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,,Ground
North,1932,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1340,,Ground
North,1932,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,,Ground
North,1932,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,,Ground
North,1932,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396,,Ground
North,1933,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1740,,Ground
North,1933,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,,Ground
North,1933,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,,Ground
North,1933,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,,Ground
North,1934,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,,Ground
North,1934,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400,,Ground
North,1934,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,,Ground
North,1934,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,,Ground
North,1935,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2479,,Ground
North,1935,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979,,Ground
North,1935,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261,,Ground
North,1935,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,,Ground
North,1936,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2039,,Ground
North,1936,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,,Ground
North,1936,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,,Ground
North,1936,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,774,,Ground
North,1937,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2131,,Ground
North,1937,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1272,,Ground
North,1937,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,,Ground
North,1937,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775,,Ground
North,1938,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1795,,Ground
North,1938,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574,,Ground
North,1938,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,,Ground
North,1938,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,,Ground
North,1939,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1104,,Ground
North,1939,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488,,Ground
North,1939,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,,Ground
North,1939,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,,Ground
North,1940,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1464,,Ground
North,1940,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,532,,Ground
North,1940,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,,Ground
North,1940,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,,Ground
North,1941,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1624,,Ground
North,1941,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,,Ground
North,1941,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,,Ground
North,1941,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,,Ground
North,1942,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1286,,Ground
